"Payment Information","Payment Information"
"Payment Due Date","Payment Due Date"
"Payment Reference","Payment Reference"
"Account Holder","Account Holder"
"Please also note that our company has assigned the due purchase price claim from your order including any ancillary claims to Ratepay GmBH. The owner of the claim is thus Ratepay GmBH. A debt-discharging service is only possible to Ratepay GmBH, stating the purpose of use. The additional terms and conditions and the data protection notice of Ratepay GmBH apply:","Please also note that our company has assigned the due purchase price claim from your order including any ancillary claims to Ratepay GmBH. The owner of the claim is thus Ratepay GmBH. A debt-discharging service is only possible to Ratepay GmBH, stating the purpose of use. The additional terms and conditions and the data protection notice of Ratepay GmBH apply:"
"Questions About Payment","Questions About Payment"
"Online","Online"
"Email","Email"
"Telephone","Telephone"
"Monday - Friday","Monday - Friday"
"My Account","My Account"
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Connection Successful","Connection Successful"
"User Guide","User Guide"
"Registration","Registration"
"Important","Important"
"Title","Title"
"Payable To","Payable To"
"Mailing Address","Mailing Address"
"Instructions","Instructions"
"Extra Details","Extra Details"
"Purchase Order Number","Purchase Order Number"
"Please review the payment instructions that have been sent to your email.","Please review the payment instructions that have been sent to your email."
"Page not found.","Page not found."
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled. Please Login or Create an Account","Guest checkout is disabled. Please Login or Create an Account"
"%1 : the %2 amount is %3.","%1 : the %2 amount is %3."
"Invoice #%1 was automatically created. Email was sent to the customer.","Invoice #%1 was automatically created. Email was sent to the customer."
"Connection error!","Connection error!"
